number,title,composer_or_origin,copyright_status,source,url,format
001,Blinka lilla stjärna där,Traditionell (Swedish lyrics version),FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/twinkle.mid,MIDI
002,Björnen sover,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/bjornen_sover.mid,MIDI
003,Lilla snigel,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/lilla_snigel.mid,MIDI
004,Tula hem och tula vall,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/tula_hem_och_tula_vall.mid,MIDI
005,Goder afton,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/goder_afton.mid,MIDI
006,Dansa min docka,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/dansa_min_docka.mid,MIDI
007,Gumman ville vagga,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/gumman_ville_vagga.mid,MIDI
008,Vi gå över daggstänkta berg,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/vi_ga_over_daggstankta_berg.mid,MIDI
009,Broder Jakob,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/bruder_jakob_min.mid,MIDI
010,Nu är glada julen slut,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/nu_ar_glada_julen_slut_slut_slut.mid,MIDI
011,Min hatt den har tre kanter,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/kakaktua.mid,MIDI
012,Mors lilla Olle,Alice Tegnér,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/mors_lilla_olle.mid,MIDI
013,Mormors lilla kråka,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/mormors_lilla_kraka.mid,MIDI
014,Prästens lilla kråka,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/mormors_lilla_kraka.mid,MIDI
015,Räven raskar över isen,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/raven_raskar_over_isen.mid,MIDI
016,Små grodorna,Traditionell,FRI I EU/SE,wikimedia.org,https://commons.wikimedia.org/wiki/Special:FilePath/Sm%C3%A5_grodorna.mid,MIDI
017,Gubben Noak,Carl Michael Bellman (trad. song),FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/gubben_noak.mid,MIDI
018,Sankta Lucia,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/sankta_lucia.mid,MIDI
019,Raska fötter springa tripp tripp tripp,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/raska_fotter_springa_tripp_tripp_tripp.mid,MIDI
020,Tomtarnas julnatt,Traditionell,FRI I EU/SE,mamalisa.com,https://www.mamalisa.com/midi/tomtarnas_julnatt.mid,MIDI
